"postage",": the fee for postal service : adhesive stamps or printed indicia representing postal fees"
"rents",": property (such as a house) rented or for rent : a usually fixed periodical return made by a tenant or occupant of property to the owner for the possession and use thereof : an agreed sum paid at fixed intervals by a tenant to the landlord : the amount paid by a hirer of personal property to the owner for the use thereof : the portion of the income of an economy (as of a nation) attributable to land as a factor of production in addition to capital and labor : ECONOMIC RENT"
"reopen",": to open again : to take up again : RESUME : to resume discussion or consideration of : to begin again"
"reopened",": to open again : to take up again : RESUME : to resume discussion or consideration of : to begin again"
"reopening",": to open again : to take up again : RESUME : to resume discussion or consideration of : to begin again"
"reorganization",": the act or process of reorganizing : the state of being reorganized : the financial reconstruction of a business concern"
"rep",": REPUTATION : status in a group (such as a gang)"
"repaid",": to pay back : to give or inflict in return or requital : to make a return payment to : COMPENSATE, REQUITE : to make requital for : RECOMPENSE"
"repair",": to restore by replacing a part or putting together what is torn or broken : FIX : to restore to a sound or healthy state : RENEW : to make good : compensate for : REMEDY"
"repaired",": to restore by replacing a part or putting together what is torn or broken : FIX : to restore to a sound or healthy state : RENEW : to make good : compensate for : REMEDY"
"repairing",": to restore by replacing a part or putting together what is torn or broken : FIX : to restore to a sound or healthy state : RENEW : to make good : compensate for : REMEDY"
"repairs",": to restore by replacing a part or putting together what is torn or broken : FIX : to restore to a sound or healthy state : RENEW : to make good : compensate for : REMEDY"
"reparations",": a repairing or keeping in repair : REPAIRS : the act of making amends, offering expiation, or giving satisfaction for a wrong or injury : something done or given as amends or satisfaction : the payment of damages : INDEMNIFICATION : compensation in money or materials payable by a defeated nation for damages to or expenditures sustained by another nation as a result of hostilities with the defeated nation"
"repatriation",": the act or process of restoring or returning someone or something to the country of origin, allegiance, or citizenship : the act of repatriating or the state of being repatriated"
"repay",": to pay back : to give or inflict in return or requital : to make a return payment to : COMPENSATE, REQUITE : to make requital for : RECOMPENSE"
"repayment",": to pay back : to give or inflict in return or requital : to make a return payment to : COMPENSATE, REQUITE : to make requital for : RECOMPENSE"
"repeal",": to rescind or annul by authoritative act : to revoke or abrogate by legislative enactment : ABANDON, RENOUNCE : to summon to return : RECALL"
"repealed",": to rescind or annul by authoritative act : to revoke or abrogate by legislative enactment : ABANDON, RENOUNCE : to summon to return : RECALL"
"repealing",": to rescind or annul by authoritative act : to revoke or abrogate by legislative enactment : ABANDON, RENOUNCE : to summon to return : RECALL"
"repeat",": to say or state again : to say over from memory : RECITE : to say after another : to make, do, or perform again : to make appear again : to go through or experience again : to express or present (oneself) again in the same words, terms, or form"
"repeated",": renewed or recurring again and again : said, done, or presented again"
"repeatedly",": AGAIN AND AGAIN"
"repeating",": designed to load cartridges from a magazine"
"repeats",": to say or state again : to say over from memory : RECITE : to say after another : to make, do, or perform again : to make appear again : to go through or experience again : to express or present (oneself) again in the same words, terms, or form"
"repel",": to drive back : REPULSE : to fight against : RESIST : TURN AWAY, REJECT : to drive away : DISCOURAGE : to be incapable of adhering to, mixing with, taking up, or holding : to force away or apart or tend to do so by mutual action at a distance : to cause aversion in : DISGUST"
"repent",": to turn from sin and dedicate oneself to the amendment of one's life : to feel regret or contrition : to change one's mind"
"repentance",": the action or process of repenting especially for misdeeds or moral shortcomings"
"repercussions",": REFLECTION, REVERBERATION : an action or effect given or exerted in return : a reciprocal action or effect : a widespread, indirect, or unforeseen effect of an act, action, or event"
"repertoire",": a list or supply of dramas, operas, pieces, or parts that a company or person is prepared to perform : a supply of skills, devices, or expedients : AMOUNT, SUPPLY : a list or supply of capabilities : the complete list or supply of dramas, operas, or musical works available for performance : the complete list or supply of skills, devices, or ingredients used in a particular field, occupation, or practice"
"repetition",": the act or an instance of repeating or being repeated : a motion or exercise (such as a push-up) that is repeated and usually counted : MENTION, RECITAL"
"repetitive",": REPETITIOUS : containing repetition"
"replace",": to restore to a former place or position : to take the place of especially as a substitute or successor : to put something new in the place of"
"replaced",": to restore to a former place or position : to take the place of especially as a substitute or successor : to put something new in the place of"
"replacement",": the action or process of replacing : the state of being replaced : one that replaces another especially in a job or function"
"replacements",": the action or process of replacing : the state of being replaced : one that replaces another especially in a job or function"
"replaces",": to restore to a former place or position : to take the place of especially as a substitute or successor : to put something new in the place of"
"replacing",": to restore to a former place or position : to take the place of especially as a substitute or successor : to put something new in the place of"
"replay",": to play again or over"
"replays",": to play again or over"
"replenish",": to fill or build up again : to fill with persons or animals : to fill with inspiration or power : NOURISH : to supply fully : PERFECT"
"replica",": an exact reproduction (as of a painting) executed by the original artist : a copy exact in all details : COPY"
"replicate",": DUPLICATE, REPEAT"
"replicated",": DUPLICATE, REPEAT"
"replication",": ANSWER, REPLY : an answer to a reply : REJOINDER : a plaintiff's reply to a defendant's plea, answer, or counterclaim : ECHO, REVERBERATION : COPY, REPRODUCTION : the action or process of reproducing or duplicating : performance of an experiment or procedure more than once"
"replied",": to respond in words or writing : ECHO, RESOUND : to make a legal replication : to do something in response : to return gunfire or an attack"
"replies",": to respond in words or writing : ECHO, RESOUND : to make a legal replication : to do something in response : to return gunfire or an attack"
"reply",": to respond in words or writing : ECHO, RESOUND : to make a legal replication : to do something in response : to return gunfire or an attack"
"replying",": to respond in words or writing : ECHO, RESOUND : to make a legal replication : to do something in response : to return gunfire or an attack"
"repo",": of, relating to, or being in the business of repossessing property (such as a car) from buyers who have defaulted on payments"
"report",": common talk or an account spread by common talk : RUMOR : quality of reputation : a usually detailed account or statement : an account or statement of a judicial opinion or decision : a usually formal record of the proceedings of a meeting or session : an explosive noise"
"reported",": common talk or an account spread by common talk : RUMOR : quality of reputation : a usually detailed account or statement : an account or statement of a judicial opinion or decision : a usually formal record of the proceedings of a meeting or session : an explosive noise"
"reportedly",": according to report"
"reporter",": one that reports: such as : a person who makes authorized statements of law decisions or legislative proceedings : a person who makes a shorthand record of a speech or proceeding : a person employed by a newspaper, magazine, or television company to gather and report news : a person who broadcasts news"
"reporters",": one that reports: such as : a person who makes authorized statements of law decisions or legislative proceedings : a person who makes a shorthand record of a speech or proceeding : a person employed by a newspaper, magazine, or television company to gather and report news : a person who broadcasts news"
"reporting",": common talk or an account spread by common talk : RUMOR : quality of reputation : a usually detailed account or statement : an account or statement of a judicial opinion or decision : a usually formal record of the proceedings of a meeting or session : an explosive noise"
"reports",": common talk or an account spread by common talk : RUMOR : quality of reputation : a usually detailed account or statement : an account or statement of a judicial opinion or decision : a usually formal record of the proceedings of a meeting or session : an explosive noise"
"repository",": a place, room, or container where something is deposited or stored : DEPOSITORY : a side altar in a Roman Catholic church where the consecrated Host is reserved from Maundy Thursday until Good Friday : one that contains or stores something nonmaterial : a place or region richly supplied with a natural resource : a person to whom something is confided or entrusted"
"repost",": to post (something) again"
"represent",": to give a clear understanding or impression of : to describe or present clearly : to describe or present in a specified way or as having a specified quality or character : to serve as a sign or symbol of : to portray or exhibit in art : DEPICT : to serve as the counterpart or image of : TYPIFY : to produce on the stage : to act the part or role of : to take the place of in some respect : to act in the place of or for usually by legal right : to manage the legal and business affairs of : to serve especially in a legislative body by delegated authority usually resulting from election : to include (people, perspectives, etc.) from a given group, especially one that has historically been excluded or discriminated against (as due to race, gender, sexuality, or ability) : to present oneself as and show pride in being a member of (a culture, race, etc., especially one that was historically excluded or discriminated against) : to give one's impression and judgment of : state in a manner intended to affect action or judgment : to point out in protest or remonstrance : to serve as a specimen, example, or instance of : to form an image or representation of in the mind : to apprehend (an object) by means of an idea : to recall in memory : to correspond to in essence : CONSTITUTE"
"representation",": someone or something that represents: such as : an artistic likeness or image : a statement or account made to influence opinion or action : an incidental or collateral statement of fact on the faith of which a contract is entered into : a dramatic production or performance : a usually formal statement made against something or to effect a change : a usually formal protest : the act or action of representing : the state of being represented: such as : REPRESENTATIONALISM sense 2 : the action or fact of one person standing for another so as to have the rights and obligations of the person represented : the substitution of an individual or class in place of a person (such as a child for a deceased parent) : the action of representing or the fact of being represented in a grouping, aggregation, or body (especially a legislative body) : the participation of people from groups who have historically been excluded or discriminated against (as due to race, gender, sexuality, or ability) : the inclusion of characters, perspectives, etc. from such groups : the action of presenting or describing a person or thing especially in a particular way : the body of persons representing a constituency"
"representations",": to give a clear understanding or impression of : to describe or present clearly : to describe or present in a specified way or as having a specified quality or character : to serve as a sign or symbol of : to portray or exhibit in art : DEPICT : to serve as the counterpart or image of : TYPIFY : to produce on the stage : to act the part or role of : to take the place of in some respect : to act in the place of or for usually by legal right : to manage the legal and business affairs of : to serve especially in a legislative body by delegated authority usually resulting from election : to include (people, perspectives, etc.) from a given group, especially one that has historically been excluded or discriminated against (as due to race, gender, sexuality, or ability) : to present oneself as and show pride in being a member of (a culture, race, etc., especially one that was historically excluded or discriminated against) : to give one's impression and judgment of : state in a manner intended to affect action or judgment : to point out in protest or remonstrance : to serve as a specimen, example, or instance of : to form an image or representation of in the mind : to apprehend (an object) by means of an idea : to recall in memory : to correspond to in essence : CONSTITUTE"
"representative",": serving to represent : standing or acting for another especially through delegated authority : of, based on, or constituting a government in which the many are represented by persons chosen from among them usually by election : serving as a typical or characteristic example of a particular group of people or of a particular thing : including examples of the different types of people or things in a group : of or relating to representation or representationalism"
"representatives",": serving to represent : standing or acting for another especially through delegated authority : of, based on, or constituting a government in which the many are represented by persons chosen from among them usually by election : serving as a typical or characteristic example of a particular group of people or of a particular thing : including examples of the different types of people or things in a group : of or relating to representation or representationalism"
"represented",": to give a clear understanding or impression of : to describe or present clearly : to describe or present in a specified way or as having a specified quality or character : to serve as a sign or symbol of : to portray or exhibit in art : DEPICT : to serve as the counterpart or image of : TYPIFY : to produce on the stage : to act the part or role of : to take the place of in some respect : to act in the place of or for usually by legal right : to manage the legal and business affairs of : to serve especially in a legislative body by delegated authority usually resulting from election : to include (people, perspectives, etc.) from a given group, especially one that has historically been excluded or discriminated against (as due to race, gender, sexuality, or ability) : to present oneself as and show pride in being a member of (a culture, race, etc., especially one that was historically excluded or discriminated against) : to give one's impression and judgment of : state in a manner intended to affect action or judgment : to point out in protest or remonstrance : to serve as a specimen, example, or instance of : to form an image or representation of in the mind : to apprehend (an object) by means of an idea : to recall in memory : to correspond to in essence : CONSTITUTE"
"representing",": to give a clear understanding or impression of : to describe or present clearly : to describe or present in a specified way or as having a specified quality or character : to serve as a sign or symbol of : to portray or exhibit in art : DEPICT : to serve as the counterpart or image of : TYPIFY : to produce on the stage : to act the part or role of : to take the place of in some respect : to act in the place of or for usually by legal right : to manage the legal and business affairs of : to serve especially in a legislative body by delegated authority usually resulting from election : to include (people, perspectives, etc.) from a given group, especially one that has historically been excluded or discriminated against (as due to race, gender, sexuality, or ability) : to present oneself as and show pride in being a member of (a culture, race, etc., especially one that was historically excluded or discriminated against) : to give one's impression and judgment of : state in a manner intended to affect action or judgment : to point out in protest or remonstrance : to serve as a specimen, example, or instance of : to form an image or representation of in the mind : to apprehend (an object) by means of an idea : to recall in memory : to correspond to in essence : CONSTITUTE"
"represents",": to give a clear understanding or impression of : to describe or present clearly : to describe or present in a specified way or as having a specified quality or character : to serve as a sign or symbol of : to portray or exhibit in art : DEPICT : to serve as the counterpart or image of : TYPIFY : to produce on the stage : to act the part or role of : to take the place of in some respect : to act in the place of or for usually by legal right : to manage the legal and business affairs of : to serve especially in a legislative body by delegated authority usually resulting from election : to include (people, perspectives, etc.) from a given group, especially one that has historically been excluded or discriminated against (as due to race, gender, sexuality, or ability) : to present oneself as and show pride in being a member of (a culture, race, etc., especially one that was historically excluded or discriminated against) : to give one's impression and judgment of : state in a manner intended to affect action or judgment : to point out in protest or remonstrance : to serve as a specimen, example, or instance of : to form an image or representation of in the mind : to apprehend (an object) by means of an idea : to recall in memory : to correspond to in essence : CONSTITUTE"
"repressed",": subjected to or marked by repression : characterized by restraint"
"repression",": the action or process of repressing : the state of being repressed : an instance of repressing : a mental process by which distressing thoughts, memories, or impulses that may give rise to anxiety are excluded from consciousness and left to operate in the unconscious : an item so excluded"
"repressive",": to check by or as if by pressure : CURB : to put down by force : SUBDUE : to hold in by self-control : to prevent the natural or normal expression, activity, or development of : to exclude from consciousness : to inactivate (a gene or formation of a gene product) by allosteric combination at a DNA binding site"
"reprint",": to print again : make a reprint of"
"reprinted",": to print again : make a reprint of"
"reprints",": to print again : make a reprint of"
"reproduce",": to produce again: such as : to produce (new individuals of the same kind) by a sexual or asexual process : to cause to exist again or anew : to imitate closely : to present again : to make a representation (such as an image or copy) of : to revive mentally : RECALL : to translate (a recording) into sound"
"reproduced",": to produce again: such as : to produce (new individuals of the same kind) by a sexual or asexual process : to cause to exist again or anew : to imitate closely : to present again : to make a representation (such as an image or copy) of : to revive mentally : RECALL : to translate (a recording) into sound"
"reproducing",": to produce again: such as : to produce (new individuals of the same kind) by a sexual or asexual process : to cause to exist again or anew : to imitate closely : to present again : to make a representation (such as an image or copy) of : to revive mentally : RECALL : to translate (a recording) into sound"
"reproduction",": the act or process of reproducing : the process by which plants and animals give rise to offspring and which fundamentally consists of the segregation of a portion of the parental body by a sexual or an asexual process and its subsequent growth and differentiation into a new individual : something reproduced : COPY : young seedling trees in a forest"
"reproductive",": of, relating to, or capable of reproduction"
"reps",": REPUTATION : status in a group (such as a gang)"
"reptile",": an animal that crawls or moves on its belly (such as a snake) or on small short legs (such as a lizard) : any of a class (Reptilia) of cold-blooded, air-breathing, usually egg-laying vertebrates that include the alligators and crocodiles, lizards, snakes, turtles, and extinct related forms (such as dinosaurs and pterosaurs) and that have a body typically covered with scales or bony plates and a bony skeleton with a single occipital condyle, a distinct quadrate bone usually immovably articulated with the skull, and ribs attached to the sternum : a groveling or despised person"
"reptiles",": an animal that crawls or moves on its belly (such as a snake) or on small short legs (such as a lizard) : any of a class (Reptilia) of cold-blooded, air-breathing, usually egg-laying vertebrates that include the alligators and crocodiles, lizards, snakes, turtles, and extinct related forms (such as dinosaurs and pterosaurs) and that have a body typically covered with scales or bony plates and a bony skeleton with a single occipital condyle, a distinct quadrate bone usually immovably articulated with the skull, and ribs attached to the sternum : a groveling or despised person"
"republic",": a government in which the power belongs to a body of citizens entitled to vote and is exercised by the leaders and representatives elected by those citizens to govern according to law : a country, state, or territory having a republican (see REPUBLICAN entry 2 sense 2a) government : a usually specified government of such a country, state, or territory : a country, state, or territory that is headed by someone other than a hereditary monarch but whose citizens do not hold real power see also BANANA REPUBLIC : a community of beings thought to resemble a political republic especially by exhibiting a general equality among members : a group of people freely engaged in a specified activity"
"republican",": a member of the Republican Party of the U.S. : a member of one of the two major political parties in the U.S. that is usually associated with reduced taxation, with limited government regulation of business, finance, industry, education, and policing, with strong national defense, and with opposition to abortion, affirmative action, gun control, and policies and laws that are viewed as challenging traditional social and family hierarchies and structure compare DEMOCRAT : a member of the Democratic-Republican Party of the U.S. : one that favors or supports a republican (see REPUBLICAN entry 2 sense 2a) form of government : one who favors or supports the joining of Northern Ireland and the Republic of Ireland into a single republic"
"republicans",": a member of the Republican Party of the U.S. : a member of one of the two major political parties in the U.S. that is usually associated with reduced taxation, with limited government regulation of business, finance, industry, education, and policing, with strong national defense, and with opposition to abortion, affirmative action, gun control, and policies and laws that are viewed as challenging traditional social and family hierarchies and structure compare DEMOCRAT : a member of the Democratic-Republican Party of the U.S. : one that favors or supports a republican (see REPUBLICAN entry 2 sense 2a) form of government : one who favors or supports the joining of Northern Ireland and the Republic of Ireland into a single republic"
"republics",": a government in which the power belongs to a body of citizens entitled to vote and is exercised by the leaders and representatives elected by those citizens to govern according to law : a country, state, or territory having a republican (see REPUBLICAN entry 2 sense 2a) government : a usually specified government of such a country, state, or territory : a country, state, or territory that is headed by someone other than a hereditary monarch but whose citizens do not hold real power see also BANANA REPUBLIC : a community of beings thought to resemble a political republic especially by exhibiting a general equality among members : a group of people freely engaged in a specified activity"
"repulsed",": to drive or beat back : REPEL : to repel by discourtesy, coldness, or denial : to cause repulsion in"
"repulsive",": serving or able to repulse : tending to repel or reject : COLD, FORBIDDING : arousing aversion or disgust"
"reputable",": enjoying good repute : held in esteem : employed widely or sanctioned by good writers"
"reputation",": overall quality or character as seen or judged by people in general : recognition by other people of some characteristic or ability : a place in public esteem or regard : good name"
"reputations",": overall quality or character as seen or judged by people in general : recognition by other people of some characteristic or ability : a place in public esteem or regard : good name"
"reputed",": having a good repute : REPUTABLE : being such according to reputation or general belief"
"request",": the act or an instance of asking for something : something asked for : the condition or fact of being requested : the state of being sought after : DEMAND"
"requested",": the act or an instance of asking for something : something asked for : the condition or fact of being requested : the state of being sought after : DEMAND"
"requesting",": the act or an instance of asking for something : something asked for : the condition or fact of being requested : the state of being sought after : DEMAND"
"requests",": the act or an instance of asking for something : something asked for : the condition or fact of being requested : the state of being sought after : DEMAND"
"requiem",": a mass for the dead : a solemn chant (such as a dirge) for the repose of the dead : something that resembles such a solemn chant : a musical setting of the mass for the dead : a musical composition in honor of the dead"
"require",": to claim or ask for by right and authority : REQUEST : to call for as suitable or appropriate : to demand as necessary or essential : have a compelling need for : to impose a compulsion or command on : COMPEL : to feel or be obliged"
"required",": stipulated as necessary to be done, made, or provided"
"requirement",": something required: : something wanted or needed : NECESSITY : something essential to the existence or occurrence of something else : CONDITION"
"requirements",": something required: : something wanted or needed : NECESSITY : something essential to the existence or occurrence of something else : CONDITION"
"requires","Definition not found"
"requiring","Definition not found"
"requisite","Definition not found"
"rerun","Definition not found"
"res","Definition not found"
"resale","Definition not found"
"rescheduled",": to schedule or plan again according to a different timetable : to defer required payment of (a debt or loan)"
"rescinded",": to take away : REMOVE : TAKE BACK, CANCEL : to abrogate (a contract) and restore the parties to the positions they would have occupied had there been no contract : to make void by action of the enacting authority or a superior authority : REPEAL"
"rescue",": to free from confinement, danger, or evil : SAVE, DELIVER : such as : to take (someone, such as a prisoner) forcibly from custody : to recover (something, such as a prize) by force : to deliver (a place under siege) by armed force"
"rescued",": to free from confinement, danger, or evil : SAVE, DELIVER : such as : to take (someone, such as a prisoner) forcibly from custody : to recover (something, such as a prize) by force : to deliver (a place under siege) by armed force"
"rescues",": to free from confinement, danger, or evil : SAVE, DELIVER : such as : to take (someone, such as a prisoner) forcibly from custody : to recover (something, such as a prize) by force : to deliver (a place under siege) by armed force"
"rescuing",": to free from confinement, danger, or evil : SAVE, DELIVER : such as : to take (someone, such as a prisoner) forcibly from custody : to recover (something, such as a prize) by force : to deliver (a place under siege) by armed force"
"research",": studious inquiry or examination : investigation or experimentation aimed at the discovery and interpretation of facts, revision of accepted theories or laws in the light of new facts, or practical application of such new or revised theories or laws : the collecting of information about a particular subject : careful or diligent search"
"researched",": studious inquiry or examination : investigation or experimentation aimed at the discovery and interpretation of facts, revision of accepted theories or laws in the light of new facts, or practical application of such new or revised theories or laws : the collecting of information about a particular subject : careful or diligent search"
"researcher",": studious inquiry or examination : investigation or experimentation aimed at the discovery and interpretation of facts, revision of accepted theories or laws in the light of new facts, or practical application of such new or revised theories or laws : the collecting of information about a particular subject : careful or diligent search"
"researchers",": studious inquiry or examination : investigation or experimentation aimed at the discovery and interpretation of facts, revision of accepted theories or laws in the light of new facts, or practical application of such new or revised theories or laws : the collecting of information about a particular subject : careful or diligent search"
"researches",": studious inquiry or examination : investigation or experimentation aimed at the discovery and interpretation of facts, revision of accepted theories or laws in the light of new facts, or practical application of such new or revised theories or laws : the collecting of information about a particular subject : careful or diligent search"
"researching",": studious inquiry or examination : investigation or experimentation aimed at the discovery and interpretation of facts, revision of accepted theories or laws in the light of new facts, or practical application of such new or revised theories or laws : the collecting of information about a particular subject : careful or diligent search"
"resemblance",": the quality or state of resembling : correspondence in appearance or superficial qualities : a point of likeness : SIMILARITY : REPRESENTATION, IMAGE : characteristic appearance : PROBABILITY"
"resemble",": to be like or similar to : to represent as like"
"resembled",": to be like or similar to : to represent as like"
"resembles",": to be like or similar to : to represent as like"
"resembling",": to be like or similar to : to represent as like"
"resent",": to feel or express annoyance or ill will at"
"resented",": to feel or express annoyance or ill will at"
"resentment",": a feeling of indignant displeasure or persistent ill will at something regarded as a wrong, insult, or injury"
"reservation",": an act of reserving something: such as : the act or fact of a grantor's reserving some newly created thing out of the thing granted : the right or interest so reserved : the setting of limiting conditions or withholding from complete exposition : an arrangement to have something (such as a hotel room) held for one's use : a promise, guarantee, or record of such engagement : a limiting condition : DOUBT, MISGIVING : something reserved: such as : a tract of public land set aside (as for use by American Indians) : an area in which hunting is not permitted : one set aside as a secure breeding place"
"reservations",": an act of reserving something: such as : the act or fact of a grantor's reserving some newly created thing out of the thing granted : the right or interest so reserved : the setting of limiting conditions or withholding from complete exposition : an arrangement to have something (such as a hotel room) held for one's use : a promise, guarantee, or record of such engagement : a limiting condition : DOUBT, MISGIVING : something reserved: such as : a tract of public land set aside (as for use by American Indians) : an area in which hunting is not permitted : one set aside as a secure breeding place"
"reserve",": to hold in reserve : keep back : to set aside (part of the consecrated elements) at the Eucharist for future use : to retain or hold over to a future time or place : DEFER : to make legal reservation of : to set or have set aside or apart"
"reserved",": restrained in words and actions : kept or set apart or aside for future or special use"
"reserves",": to hold in reserve : keep back : to set aside (part of the consecrated elements) at the Eucharist for future use : to retain or hold over to a future time or place : DEFER : to make legal reservation of : to set or have set aside or apart"
"reservoir",": a place where something is kept in store: such as : an artificial lake where water is collected and kept in quantity for use : a part of an apparatus in which a liquid is held : SUPPLY, STORE : an extra supply : RESERVE : a host organism in which an infectious agent (such as a bacterium or virus) that is pathogenic for some other species lives and multiplies typically without damaging the host : a nonliving thing (such as soil or water) in which an infectious agent lives and multiplies and which serves as a source of infection similar to a host organism : a part of the body that harbors an infectious agent and serves as a source of reinfection or infection transmission compare CARRIER sense 5a, VECTOR entry 1 sense 2a"
"reservoirs",": a place where something is kept in store: such as : an artificial lake where water is collected and kept in quantity for use : a part of an apparatus in which a liquid is held : SUPPLY, STORE : an extra supply : RESERVE : a host organism in which an infectious agent (such as a bacterium or virus) that is pathogenic for some other species lives and multiplies typically without damaging the host : a nonliving thing (such as soil or water) in which an infectious agent lives and multiplies and which serves as a source of infection similar to a host organism : a part of the body that harbors an infectious agent and serves as a source of reinfection or infection transmission compare CARRIER sense 5a, VECTOR entry 1 sense 2a"
"reset",": to set again or anew : to change the reading of often to zero"
"resettlement",": to settle (someone or something) again or anew : to move (people) to a new place to live : to become settled again or anew (as after disturbance or upheaval)"
"reside",": to be in residence as the incumbent of a benefice or office : to dwell permanently or continuously : occupy a place as one's legal domicile : to be present as an element or quality : to be vested as a right"
"resided",": to be in residence as the incumbent of a benefice or office : to dwell permanently or continuously : occupy a place as one's legal domicile : to be present as an element or quality : to be vested as a right"
"residence",": the act or fact of dwelling in a place for some time : the act or fact of living or regularly staying at or in some place for the discharge of a duty or the enjoyment of a benefit : the place where one actually lives as distinguished from one's domicile or a place of temporary sojourn : DOMICILE sense 2a : the place where a corporation is actually or officially established : the status of a legal resident : a building used as a home : DWELLING : housing or a unit of housing provided for students : the period or duration of abode in a place : a period of active and especially full-time study, research, or teaching at a college or university"
"residences",": the act or fact of dwelling in a place for some time : the act or fact of living or regularly staying at or in some place for the discharge of a duty or the enjoyment of a benefit : the place where one actually lives as distinguished from one's domicile or a place of temporary sojourn : DOMICILE sense 2a : the place where a corporation is actually or officially established : the status of a legal resident : a building used as a home : DWELLING : housing or a unit of housing provided for students : the period or duration of abode in a place : a period of active and especially full-time study, research, or teaching at a college or university"
"residency",": a usually official place of residence : a state or period of residence : RESIDENCE sense 2c : a territory in a protected state in which the powers of the protecting state are executed by a resident agent : a period of advanced training in a medical specialty that normally follows graduation from medical school and licensing to practice medicine : RESIDENCE sense 4b : a period as an artist in residence"
"resident","Definition not found"
"residential","Definition not found"
"residents","Definition not found"
"resides","Definition not found"
"residing","Definition not found"
"residual","Definition not found"
"residue","Definition not found"
"residues","Definition not found"
"resign","Definition not found"
"resignation","Definition not found"
"resigned","Definition not found"
"resigning","Definition not found"
"resigns",": RELEGATE, CONSIGN : to give (oneself) over without resistance : to give up deliberately : to renounce (something, such as a right or position) by a formal act"
"resilience",": the capability of a strained body to recover its size and shape after deformation caused especially by compressive stress : an ability to recover from or adjust easily to misfortune or change"
"resilient",": characterized or marked by resilience: such as : capable of withstanding shock without permanent deformation or rupture : tending to recover from or adjust easily to misfortune or change"
"resin",": any of various solid or semisolid amorphous fusible flammable natural organic substances that are usually transparent or translucent and yellowish to brown, are formed especially in plant secretions, are soluble in organic solvents (such as ether) but not in water, are electrical nonconductors, and are used chiefly in varnishes, printing inks, plastics, and sizes and in medicine : ROSIN : any of a large class of synthetic products that have some of the physical properties of natural resins but are different chemically and are used chiefly in plastics : any of various products made from a natural resin or a natural polymer"
"resist",": to exert force in opposition"
"resistance",": an act or instance of resisting : OPPOSITION : a means of resisting : the power or capacity to resist: such as : the inherent ability of an organism to resist harmful influences (such as disease, toxic agents, or infection) : the capacity of a species or strain of microorganism to survive exposure to a toxic agent (such as a drug) formerly effective against it : an opposing or impeding force : the opposition offered by a body or substance to the passage through it of a steady electric current : a source of resistance : a psychological defense mechanism wherein a patient rejects, denies, or otherwise opposes the therapeutic efforts of a psychotherapist : an underground organization of a conquered or nearly conquered country engaging in sabotage and secret operations against occupation forces and collaborators"
"resistant",": giving, capable of, or exhibiting resistance"
"resisted",": to exert force in opposition"
"resisting",": to exert force in opposition"
"resistor",": a device that has electrical resistance and that is used in an electric circuit for protection, operation, or current control"
"resists",": to exert force in opposition"
"resolute",": marked by firm determination : RESOLVED : BOLD, STEADY"
"resolution",": the act or process of resolving: such as : the act of analyzing a complex notion into simpler ones : the act of answering : SOLVING : the act of determining : the passing of a voice part from a dissonant to a consonant tone or the progression of a chord from dissonance to consonance : the separating of a chemical compound or mixture into its constituents : the division of a prosodic element into its component parts : the substitution in Greek or Latin prosody of two short syllables for a long syllable : the analysis of a vector into two or more vectors of which it is the sum : the subsidence of a pathological state (such as inflammation) : something that is resolved : firmness of resolve : a formal expression of opinion, will, or intent voted by an official body or assembled group : the point in a literary work at which the chief dramatic complication is worked out : the process or capability of making distinguishable the individual parts of an object, closely adjacent optical images, or sources of light : a measure of the sharpness of an image or of the fineness with which a device (such as a video display, printer, or scanner) can produce or record such an image usually expressed as the total number or density of pixels in the image"
"resolutions",": the act or process of resolving: such as : the act of analyzing a complex notion into simpler ones : the act of answering : SOLVING : the act of determining : the passing of a voice part from a dissonant to a consonant tone or the progression of a chord from dissonance to consonance : the separating of a chemical compound or mixture into its constituents : the division of a prosodic element into its component parts : the substitution in Greek or Latin prosody of two short syllables for a long syllable : the analysis of a vector into two or more vectors of which it is the sum : the subsidence of a pathological state (such as inflammation) : something that is resolved : firmness of resolve : a formal expression of opinion, will, or intent voted by an official body or assembled group : the point in a literary work at which the chief dramatic complication is worked out : the process or capability of making distinguishable the individual parts of an object, closely adjacent optical images, or sources of light : a measure of the sharpness of an image or of the fineness with which a device (such as a video display, printer, or scanner) can produce or record such an image usually expressed as the total number or density of pixels in the image"
"resolve",": to deal with successfully : clear up : to find an answer to : to make clear or understandable : to find a mathematical solution of : to split up into two or more components especially in assigned directions : to reach a firm decision about : to declare or decide by a formal resolution and vote : to change by resolution or formal vote : BREAK UP, SEPARATE : to change by disintegration : to reduce by analysis : to distinguish between or make independently visible adjacent parts of : to separate (a racemic compound or mixture) into the two components : to make (something, such as one or more voice parts or the total musical harmony) progress from dissonance to consonance : to work out the resolution of (something, such as a play) : to cause resolution of (a pathological state) : DISSOLVE, MELT"
"resolved",": to deal with successfully : clear up : to find an answer to : to make clear or understandable : to find a mathematical solution of : to split up into two or more components especially in assigned directions : to reach a firm decision about : to declare or decide by a formal resolution and vote : to change by resolution or formal vote : BREAK UP, SEPARATE : to change by disintegration : to reduce by analysis : to distinguish between or make independently visible adjacent parts of : to separate (a racemic compound or mixture) into the two components : to make (something, such as one or more voice parts or the total musical harmony) progress from dissonance to consonance : to work out the resolution of (something, such as a play) : to cause resolution of (a pathological state) : DISSOLVE, MELT"
