"spectacular",": of, relating to, or being a spectacle : STRIKING, SENSATIONAL"
"theta",": the 8th letter of the Greek alphabet
see Alphabet Table : THETA RHYTHM"
"they",": those ones : those people, animals, or things"
"thick",": having or being of relatively great depth or extent from one surface to its opposite : heavily built : THICKSET : close-packed with units or individuals : occurring in large numbers : NUMEROUS : viscous in consistency : SULTRY, STUFFY : marked by haze, fog, or mist : impenetrable to the eye : PROFOUND : extremely intense : measuring in thickness : imperfectly articulated : INDISTINCT : plainly apparent : DECIDED : producing inarticulate speech : OBTUSE, STUPID : associated on close terms : INTIMATE : exceeding bounds of propriety or fitness : EXCESSIVE"
"thicker",": having or being of relatively great depth or extent from one surface to its opposite : heavily built : THICKSET : close-packed with units or individuals : occurring in large numbers : NUMEROUS : viscous in consistency : SULTRY, STUFFY : marked by haze, fog, or mist : impenetrable to the eye : PROFOUND : extremely intense : measuring in thickness : imperfectly articulated : INDISTINCT : plainly apparent : DECIDED : producing inarticulate speech : OBTUSE, STUPID : associated on close terms : INTIMATE : exceeding bounds of propriety or fitness : EXCESSIVE"
"thickness",": the smallest of three dimensions : the quality or state of being thick : viscous consistency : the condition of being smoky, foul, or foggy : the thick part of something : CONCENTRATION, DENSITY : STUPIDITY, DULLNESS : LAYER, PLY, SHEET"
"thief",": one that steals especially stealthily or secretly : one who commits theft or larceny"
"thieves",": one that steals especially stealthily or secretly : one who commits theft or larceny"
"thigh",": the proximal segment of the vertebrate hind or lower limb extending from the hip to the knee : the segment of the leg immediately distal to the thigh in a bird or in a quadruped in which the true thigh is obscured : the femur of an insect : something resembling or covering a thigh"
"thighs",": the proximal segment of the vertebrate hind or lower limb extending from the hip to the knee : the segment of the leg immediately distal to the thigh in a bird or in a quadruped in which the true thigh is obscured : the femur of an insect : something resembling or covering a thigh"
"thin",": having little extent from one surface to its opposite : measuring little in cross section or diameter : not dense in arrangement or distribution : not well fleshed : LEAN : more fluid or rarefied than normal : having less than the usual number : SCANTY : few in number : SCARCE : scantily supplied : characterized by a paucity of bids or offerings : lacking substance or strength : INFERTILE, POOR : FLIMSY, UNCONVINCING : disappointingly poor or hard : somewhat feeble, shrill, and lacking in resonance : lacking in intensity or brilliance : lacking sufficient photographic density or contrast"
"thine",": THY"
"thing",": an object or entity not precisely designated or capable of being designated : an inanimate object distinguished from a living being : a separate and distinct individual quality, fact, idea, or usually entity : the concrete entity as distinguished from its appearances : a spatial entity : INDIVIDUAL : a matter of concern : AFFAIR : state of affairs in general or within a specified or implied sphere : a particular state of affairs : SITUATION : EVENT, CIRCUMSTANCE : POSSESSIONS, EFFECTS : whatever may be possessed or owned or be the object of a right : an article of clothing : equipment or utensils especially for a particular purpose : DEED, ACT, ACCOMPLISHMENT : a product of work or activity : the aim of effort or activity : something (such as an activity) that makes a strong appeal to the individual : FORTE, SPECIALTY : a mild obsession or phobia : the object of such an obsession or phobia : DETAIL, POINT : a material or substance of a specified kind : IDEA, NOTION : a piece of news or information : a spoken or written observation or point : the proper or fashionable way of behaving, talking, or dressing"
"things",": an object or entity not precisely designated or capable of being designated : an inanimate object distinguished from a living being : a separate and distinct individual quality, fact, idea, or usually entity : the concrete entity as distinguished from its appearances : a spatial entity : INDIVIDUAL : a matter of concern : AFFAIR : state of affairs in general or within a specified or implied sphere : a particular state of affairs : SITUATION : EVENT, CIRCUMSTANCE : POSSESSIONS, EFFECTS : whatever may be possessed or owned or be the object of a right : an article of clothing : equipment or utensils especially for a particular purpose : DEED, ACT, ACCOMPLISHMENT : a product of work or activity : the aim of effort or activity : something (such as an activity) that makes a strong appeal to the individual : FORTE, SPECIALTY : a mild obsession or phobia : the object of such an obsession or phobia : DETAIL, POINT : a material or substance of a specified kind : IDEA, NOTION : a piece of news or information : a spoken or written observation or point : the proper or fashionable way of behaving, talking, or dressing"
"thingy",": something that is hard to classify or whose name is unknown or forgotten : THING, THINGAMAJIG"
"think",": to form or have in the mind : to have as an intention : to have as an opinion : to regard as : CONSIDER : to reflect on : PONDER : to determine by reflecting : to call to mind : REMEMBER : to devise by thinking : to have as an expectation : ANTICIPATE : to center one's thoughts on : to form a mental picture of : to subject to the processes of logical thought"
"thinker",": to form or have in the mind : to have as an intention : to have as an opinion : to regard as : CONSIDER : to reflect on : PONDER : to determine by reflecting : to call to mind : REMEMBER : to devise by thinking : to have as an expectation : ANTICIPATE : to center one's thoughts on : to form a mental picture of : to subject to the processes of logical thought"
"thinkers",": to form or have in the mind : to have as an intention : to have as an opinion : to regard as : CONSIDER : to reflect on : PONDER : to determine by reflecting : to call to mind : REMEMBER : to devise by thinking : to have as an expectation : ANTICIPATE : to center one's thoughts on : to form a mental picture of : to subject to the processes of logical thought"
"thinking",": the action of using one's mind to produce thoughts : OPINION, JUDGMENT : thought that is characteristic (as of a period, group, or person)"
"thinks",": to form or have in the mind : to have as an intention : to have as an opinion : to regard as : CONSIDER : to reflect on : PONDER : to determine by reflecting : to call to mind : REMEMBER : to devise by thinking : to have as an expectation : ANTICIPATE : to center one's thoughts on : to form a mental picture of : to subject to the processes of logical thought"
"thinly",": having little extent from one surface to its opposite : measuring little in cross section or diameter : not dense in arrangement or distribution : not well fleshed : LEAN : more fluid or rarefied than normal : having less than the usual number : SCANTY : few in number : SCARCE : scantily supplied : characterized by a paucity of bids or offerings : lacking substance or strength : INFERTILE, POOR : FLIMSY, UNCONVINCING : disappointingly poor or hard : somewhat feeble, shrill, and lacking in resonance : lacking in intensity or brilliance : lacking sufficient photographic density or contrast"
"thinner",": one that thins : a volatile liquid (such as turpentine) used especially to thin paint"
"thinning",": having little extent from one surface to its opposite : measuring little in cross section or diameter : not dense in arrangement or distribution : not well fleshed : LEAN : more fluid or rarefied than normal : having less than the usual number : SCANTY : few in number : SCARCE : scantily supplied : characterized by a paucity of bids or offerings : lacking substance or strength : INFERTILE, POOR : FLIMSY, UNCONVINCING : disappointingly poor or hard : somewhat feeble, shrill, and lacking in resonance : lacking in intensity or brilliance : lacking sufficient photographic density or contrast"
"third",": being next after the second in place or time : ranking next after the second of a grade or degree in authority or precedence : being the forward speed or gear next higher than second especially in a motor vehicle : being one of three equal parts into which something is divisible : being the last in each group of three in a series"
"thirdly",": being next after the second in place or time : ranking next after the second of a grade or degree in authority or precedence : being the forward speed or gear next higher than second especially in a motor vehicle : being one of three equal parts into which something is divisible : being the last in each group of three in a series"
"thirds",": being next after the second in place or time : ranking next after the second of a grade or degree in authority or precedence : being the forward speed or gear next higher than second especially in a motor vehicle : being one of three equal parts into which something is divisible : being the last in each group of three in a series"
"thirst",": a sensation of dryness in the mouth and throat associated with a desire for liquids : the bodily condition (as of dehydration) that induces this sensation : a desire or need to drink : an ardent desire : CRAVING, LONGING"
"thirsty",": feeling thirst : deficient in moisture : PARCHED : highly absorbent : causing thirst : having a strong desire for something : AVID : feeling or showing a strong desire for attention, approval, or publicity (as on social media)"
"thirteen",": a number that is one more than 12
see Table of Numbers"
"thirteenth",": a number that is one more than 12
see Table of Numbers"
"thirties",": a number equal to three times 10
see Table of Numbers : the numbers 30 to 39 : the years 30 to 39 in a lifetime or century : a sign of completion : END : the second point scored by a side in a game of tennis"
"thirty",": a number equal to three times 10
see Table of Numbers : the numbers 30 to 39 : the years 30 to 39 in a lifetime or century : a sign of completion : END : the second point scored by a side in a game of tennis"
"this",": the person, thing, or idea that is present or near in place, time, or thought or that has just been mentioned : what is stated in the following phrase, clause, or discourse : this time or place : the one nearer or more immediately under observation or discussion : the one more recently referred to"
"thistle",": any of various composite (see COMPOSITE entry 1 sense 1b) flowering plants (especially genera Carduus, Cirsium, and Onopordum) that have prickles on their leaves and sometimes on their stems and often have showy heads of tubular, usually purple flowers : any of various other prickly plants : the small black seed of a tropical African herbaceous plant (Guizotia abyssinica) used especially as a source of oil and for bird feed"
"tho","Definition not found"
"thong",": a strip especially of leather or hide : a sandal held on the foot by a thong fitting between the toes and connected to a strap across the top or around the sides of the foot : an article of swimwear or underwear with the back portion consisting of a narrow strip of cloth that passes between the buttocks and connects with a waistband"
"thoracic",": of, relating to, located within, or involving the thorax"
"thorn",": a sharp rigid process on a plant : one that is a short, indurated, sharp-pointed, and leafless modified stem
compare PRICKLE, SPINE : any of various sharp spinose structures on an animal : a woody plant bearing sharp impeding processes (such as prickles or spines) : HAWTHORN : something that causes distress or irritation : the runic letter þ used in Old English and Middle English to represent either of the fricatives \th\ or \t͟h\ and in Icelandic to represent \th\"
"thorns",": a sharp rigid process on a plant : one that is a short, indurated, sharp-pointed, and leafless modified stem
compare PRICKLE, SPINE : any of various sharp spinose structures on an animal : a woody plant bearing sharp impeding processes (such as prickles or spines) : HAWTHORN : something that causes distress or irritation : the runic letter þ used in Old English and Middle English to represent either of the fricatives \th\ or \t͟h\ and in Icelandic to represent \th\"
"thorough",": carried through to completion : EXHAUSTIVE : marked by full detail : careful about detail : PAINSTAKING : complete in all respects : having full mastery (as of an art)"
"thoroughly",": in a complete or thorough manner : to a complete or thorough extent"
"those","Definition not found"
"thou",": the one addressed compare THEE, THINE, THY, YE, YOU"
"though",": in spite of the fact that : WHILE : in spite of the possibility that : even if"
"thought",": something that is thought: such as : an individual act or product of thinking : a developed intention or plan : something (such as an opinion or belief) in the mind : the intellectual product or the organized views and principles of a period, place, group, or individual : the action or process of thinking : COGITATION : serious consideration : REGARD : RECOLLECTION, REMEMBRANCE : reasoning power : the power to imagine : CONCEPTION"
"thoughtful",": absorbed in thought : MEDITATIVE : characterized by careful reasoned thinking : having thoughts : HEEDFUL : given to or chosen or made with heedful anticipation of the needs and wants of others"
"thoughts",": something that is thought: such as : an individual act or product of thinking : a developed intention or plan : something (such as an opinion or belief) in the mind : the intellectual product or the organized views and principles of a period, place, group, or individual : the action or process of thinking : COGITATION : serious consideration : REGARD : RECOLLECTION, REMEMBRANCE : reasoning power : the power to imagine : CONCEPTION"
"thousand",": a number equal to 10 times 100
see Table of Numbers : a very large number"
"thousands",": a number equal to 10 times 100
see Table of Numbers : a very large number"
"thrash",": to beat soundly with or as if with a stick or whip : FLOG : to defeat decisively or severely : to swing, beat, or strike in the manner of a rapidly moving flail : to go over again and again : to hammer out : FORGE : to separate the seeds of from the husks and straw by beating : THRESH sense 1"
"thread",": a filament, a group of filaments twisted together, or a filamentous length formed by spinning and twisting short textile fibers into a continuous strand : a piece of thread : any of various natural filaments : a slender stream (as of water) : a projecting helical rib (as in a fitting or on a pipe) by which parts can be screwed together : SCREW THREAD : something continuous or drawn out: such as : a line of reasoning or train of thought that connects the parts in a sequence (as of ideas or events) : a continuing element : a series of electronic messages (as on a message board or social media website) following a single topic or in response to a single message : a tenuous or feeble support : CLOTHING"
"threaded",": a filament, a group of filaments twisted together, or a filamentous length formed by spinning and twisting short textile fibers into a continuous strand : a piece of thread : any of various natural filaments : a slender stream (as of water) : a projecting helical rib (as in a fitting or on a pipe) by which parts can be screwed together : SCREW THREAD : something continuous or drawn out: such as : a line of reasoning or train of thought that connects the parts in a sequence (as of ideas or events) : a continuing element : a series of electronic messages (as on a message board or social media website) following a single topic or in response to a single message : a tenuous or feeble support : CLOTHING"
"threads",": a filament, a group of filaments twisted together, or a filamentous length formed by spinning and twisting short textile fibers into a continuous strand : a piece of thread : any of various natural filaments : a slender stream (as of water) : a projecting helical rib (as in a fitting or on a pipe) by which parts can be screwed together : SCREW THREAD : something continuous or drawn out: such as : a line of reasoning or train of thought that connects the parts in a sequence (as of ideas or events) : a continuing element : a series of electronic messages (as on a message board or social media website) following a single topic or in response to a single message : a tenuous or feeble support : CLOTHING"
"threat",": an expression of intention to inflict evil, injury, or damage : one that threatens : an indication of something impending"
"threaten",": to utter threats against : to give signs or warning of : PORTEND : to hang over dangerously : MENACE : to announce as intended or possible : to cause to feel insecure or anxious"
"threatened",": having an uncertain chance of continued survival : likely to become an endangered species"
"threatening",": expressing or suggesting a threat of harm, danger, etc. : indicating or suggesting the approach of possible trouble or danger"
"threatens",": to utter threats against : to give signs or warning of : PORTEND : to hang over dangerously : MENACE : to announce as intended or possible : to cause to feel insecure or anxious"
"threats",": an expression of intention to inflict evil, injury, or damage : one that threatens : an indication of something impending"
"three",": a number that is one more than 2
see Table of Numbers : the third in a set or series : something having three units or members : THREE-POINTER"
"threes",": a number that is one more than 2
see Table of Numbers : the third in a set or series : something having three units or members : THREE-POINTER"
"threesome",": a group of three persons or things : TRIO : a golf match in which one person plays his or her ball against the ball of two others playing each stroke alternately : a sexual encounter involving three people"
"threshold",": the plank, stone, or piece of timber that lies under a door : SILL : GATE, DOOR : END, BOUNDARY : the end of a runway : the place or point of entering or beginning : OUTSET : the point at which a physiological or psychological effect begins to be produced : a level, point, or value above which something is true or will take place and below which it is not or will not"
"thresholds",": the plank, stone, or piece of timber that lies under a door : SILL : GATE, DOOR : END, BOUNDARY : the end of a runway : the place or point of entering or beginning : OUTSET : the point at which a physiological or psychological effect begins to be produced : a level, point, or value above which something is true or will take place and below which it is not or will not"
"threw","Definition not found"
"thrice",": three times : in a threefold manner or degree : to a high degree"
"thrift",": careful management especially of money : a savings bank or savings and loan association : healthy and vigorous growth : gainful occupation : any of a genus (Armeria) of low-growing perennial evergreen herbs of the plumbago family : a tufted herb (A. maritima) with pink or white flower heads"
"thrill",": to cause (someone) to experience a strong feeling of enjoyable excitement see also THRILLED, THRILLING : to experience a surge of excitement and pleasure : to move or pass so as to cause a sudden wave of emotion : TREMBLE entry 1, VIBRATE"
"thrilled",": extremely pleased and excited"
"thriller",": one that thrills : a work of fiction or drama designed to hold the interest by the use of a high degree of intrigue, adventure, or suspense"
"thrilling",": causing a feeling of great excitement or happiness"
"thrills",": to cause (someone) to experience a strong feeling of enjoyable excitement see also THRILLED, THRILLING : to experience a surge of excitement and pleasure : to move or pass so as to cause a sudden wave of emotion : TREMBLE entry 1, VIBRATE"
"thrive",": to grow vigorously : FLOURISH : to gain in wealth or possessions : PROSPER : to progress toward or realize a goal despite or because of circumstances"
"thrived",": to grow vigorously : FLOURISH : to gain in wealth or possessions : PROSPER : to progress toward or realize a goal despite or because of circumstances"
"thrives",": to grow vigorously : FLOURISH : to gain in wealth or possessions : PROSPER : to progress toward or realize a goal despite or because of circumstances"
"thriving",": characterized by success or prosperity"
"throat",": the part of the neck in front of the spinal column : the passage through the neck to the stomach and lungs : VOICE : the seat of the voice : something resembling the throat especially in being an entrance, a passageway, a constriction, or a narrowed part: such as : the orifice of a tubular organ especially of a plant : the opening in the vamp of a shoe at the instep : the part of a tennis racket that connects the head with the shaft : the curved part of an anchor's arm where it joins the shank
see anchor illustration"
"throats",": the part of the neck in front of the spinal column : the passage through the neck to the stomach and lungs : VOICE : the seat of the voice : something resembling the throat especially in being an entrance, a passageway, a constriction, or a narrowed part: such as : the orifice of a tubular organ especially of a plant : the opening in the vamp of a shoe at the instep : the part of a tennis racket that connects the head with the shaft : the curved part of an anchor's arm where it joins the shank
see anchor illustration"
"throb",": to pulsate or pound with abnormal force or rapidity : to beat or vibrate rhythmically"
"throbbing",": to pulsate or pound with abnormal force or rapidity : to beat or vibrate rhythmically"
"throne",": the chair of state of a sovereign or high dignitary (such as a bishop) : the seat of a deity : royal power and dignity : SOVEREIGNTY : an order of angels
see CELESTIAL HIERARCHY"
"thrones",": the chair of state of a sovereign or high dignitary (such as a bishop) : the seat of a deity : royal power and dignity : SOVEREIGNTY : an order of angels
see CELESTIAL HIERARCHY"
"throttle",": to compress the throat of : CHOKE : to kill by such action : to prevent or check expression or activity of : SUPPRESS : to defeat easily or completely : to decrease the flow of (something, such as steam or fuel to an engine) by a valve : to regulate and especially to reduce the speed of (something, such as an engine) by such means : to vary the thrust of (a rocket engine) during flight : to limit or reduce (the bandwidth available to users of an electronic communication system, such as the Internet) : to subject to throttling (see THROTTLING sense 2)"
"through",": by way of : without stopping for : PAST : by means of : by the agency of : because of : by common descent from or relationship with : over the whole surface or extent of : THROUGHOUT : during the entire period of : from the beginning to the end of : to and including"
"throughout",": all the way from one end to the other of : in or to every part of : during the whole course or period of"
"throughput",": the amount of something (such as material, data, etc.) that passes through something (such as a machine or system) compare INPUT, OUTPUT"
"throw",": to propel through the air by a forward motion of the hand and arm : to propel through the air in any manner : PITCH sense 6b : to cause to fall : to cause to fall off : UNSEAT : to get the better of : OVERCOME : to fling (oneself) precipitately : to drive or impel violently : DASH : to put in a particular position or condition : to put on or off hastily or carelessly : to bring to bear : EXERT : BUILD, CONSTRUCT : to give by way of entertainment : to indulge in : give way to : to lose intentionally : to form or shape on a potter's wheel : to deliver (a blow) in or as if in boxing : to make a cast of (dice or a specified number on dice) : ROLL sense 1a : to give up : ABANDON : to send forth : PROJECT : SHED sense 3b : to make (oneself) dependent : commit (oneself) for help, support, or protection : to perform (something, such as a stunt) successfully : to bring forth : to give birth to : to move (a lever) so as to connect or disconnect parts of a clutch or switch : to make or break (a connection) with a lever : to put (an automobile) in a different gear especially quickly or suddenly : DEPOSIT sense 2b : to twist two or more filaments of into a thread or yarn"
"throwback",": one that is suggestive of or suited to an earlier time or style : reversion to an earlier type or phase : ATAVISM : an instance or product of atavistic reversion"
"throwing",": to propel through the air by a forward motion of the hand and arm : to propel through the air in any manner : PITCH sense 6b : to cause to fall : to cause to fall off : UNSEAT : to get the better of : OVERCOME : to fling (oneself) precipitately : to drive or impel violently : DASH : to put in a particular position or condition : to put on or off hastily or carelessly : to bring to bear : EXERT : BUILD, CONSTRUCT : to give by way of entertainment : to indulge in : give way to : to lose intentionally : to form or shape on a potter's wheel : to deliver (a blow) in or as if in boxing : to make a cast of (dice or a specified number on dice) : ROLL sense 1a : to give up : ABANDON : to send forth : PROJECT : SHED sense 3b : to make (oneself) dependent : commit (oneself) for help, support, or protection : to perform (something, such as a stunt) successfully : to bring forth : to give birth to : to move (a lever) so as to connect or disconnect parts of a clutch or switch : to make or break (a connection) with a lever : to put (an automobile) in a different gear especially quickly or suddenly : DEPOSIT sense 2b : to twist two or more filaments of into a thread or yarn"
"thrown",": to propel through the air by a forward motion of the hand and arm : to propel through the air in any manner : PITCH sense 6b : to cause to fall : to cause to fall off : UNSEAT : to get the better of : OVERCOME : to fling (oneself) precipitately : to drive or impel violently : DASH : to put in a particular position or condition : to put on or off hastily or carelessly : to bring to bear : EXERT : BUILD, CONSTRUCT : to give by way of entertainment : to indulge in : give way to : to lose intentionally : to form or shape on a potter's wheel : to deliver (a blow) in or as if in boxing : to make a cast of (dice or a specified number on dice) : ROLL sense 1a : to give up : ABANDON : to send forth : PROJECT : SHED sense 3b : to make (oneself) dependent : commit (oneself) for help, support, or protection : to perform (something, such as a stunt) successfully : to bring forth : to give birth to : to move (a lever) so as to connect or disconnect parts of a clutch or switch : to make or break (a connection) with a lever : to put (an automobile) in a different gear especially quickly or suddenly : DEPOSIT sense 2b : to twist two or more filaments of into a thread or yarn"
"throws",": to propel through the air by a forward motion of the hand and arm : to propel through the air in any manner : PITCH sense 6b : to cause to fall : to cause to fall off : UNSEAT : to get the better of : OVERCOME : to fling (oneself) precipitately : to drive or impel violently : DASH : to put in a particular position or condition : to put on or off hastily or carelessly : to bring to bear : EXERT : BUILD, CONSTRUCT : to give by way of entertainment : to indulge in : give way to : to lose intentionally : to form or shape on a potter's wheel : to deliver (a blow) in or as if in boxing : to make a cast of (dice or a specified number on dice) : ROLL sense 1a : to give up : ABANDON : to send forth : PROJECT : SHED sense 3b : to make (oneself) dependent : commit (oneself) for help, support, or protection : to perform (something, such as a stunt) successfully : to bring forth : to give birth to : to move (a lever) so as to connect or disconnect parts of a clutch or switch : to make or break (a connection) with a lever : to put (an automobile) in a different gear especially quickly or suddenly : DEPOSIT sense 2b : to twist two or more filaments of into a thread or yarn"
"thru","Definition not found"
"thrum","Definition not found"
"thrust","Definition not found"
"thug","Definition not found"
"thugs","Definition not found"
"thumb",": the short thick digit of the human hand that is analogous in position to the big toe and differs from the other fingers in having only two phalanges, allowing greater freedom of movement, and being opposable to each of them : a corresponding digit in lower animals : the part of a glove or mitten that covers the thumb : something resembling or suggesting a thumb : a convex molding : OVOLO"
"thumbnail",": the nail of the thumb : a miniature computer graphic sometimes hyperlinked to a full-size version"
"thumbs",": the short thick digit of the human hand that is analogous in position to the big toe and differs from the other fingers in having only two phalanges, allowing greater freedom of movement, and being opposable to each of them : a corresponding digit in lower animals : the part of a glove or mitten that covers the thumb : something resembling or suggesting a thumb : a convex molding : OVOLO"
"thump",": to strike or beat with or as if with something thick or heavy so as to cause a dull sound : POUND, KNOCK : WHIP, THRASH : to produce (music) mechanically or in a mechanical manner"
"thumping",": impressively large, great, or excellent"
"thunder",": the sound that follows a flash of lightning and is caused by sudden expansion of the air in the path of the electrical discharge : BANG, RUMBLE : a loud utterance or threat"
"thunderbolt",": a single discharge of lightning with the accompanying thunder : an imaginary elongated mass cast as a missile to earth in the lightning flash : a person or thing that resembles lightning in suddenness, effectiveness, or destructive power : a vehement threat or censure"
"thunderstorm",": a storm accompanied by lightning and thunder"
"thunderstorms",": a storm accompanied by lightning and thunder"
"thus",": in this or that manner or way : to this degree or extent : SO : because of this or that : HENCE, CONSEQUENTLY : as an example"
"thwart",": to oppose successfully : defeat the hopes or aspirations of : to run counter to so as to effectively oppose or baffle : CONTRAVENE : to pass through or across"
"thwarted",": to oppose successfully : defeat the hopes or aspirations of : to run counter to so as to effectively oppose or baffle : CONTRAVENE : to pass through or across"
"thy",": of or relating to thee or thyself especially as possessor or agent or as object of an action"
"thyme",": any of a genus (Thymus) of Eurasian mints with small pungent aromatic leaves : a Mediterranean garden herb (T. vulgaris) : thyme leaves used as a seasoning"
"thyroid",": a large bilobed endocrine gland of vertebrates lying at the anterior base of the neck and producing especially the hormones thyroxine and triiodothyronine : a preparation of the thyroid gland of various domestic animals used in treating thyroid disorders"
"ti",": the seventh tone of the major scale in solfège"
"tiara",": a 3-tiered crown worn by the pope : a decorative jeweled or flowered headband or semicircle for formal wear by women"
"tibet","region of southwestern China on a high plateau (average altitude 16,000 feet, or 4877 meters) north of the Himalayas and bordering on India, Nepal, Bhutan, and Myanmar (Burma); capital Lhasa area 471,660 square miles (1,226,316 square kilometers), population 3,002,165"
"tibia",": the inner and usually larger of the two bones of the vertebrate hind or lower limb between the knee and ankle : the fourth joint of the leg of an insect between the femur and tarsus"
"tic",": local and habitual spasmodic motion of particular muscles especially of the face : TWITCHING : a frequent usually unconscious quirk of behavior or speech"
"tick",": a light rhythmic audible tap or beat : a series of such ticks : the time taken by the tick of a clock : MOMENT : a small spot or mark : one used to direct attention to something, to check an item on a list, or to represent a point on a scale : the minimum amount by which the price of a security can move upward or downward : a stock market transaction at a price above or below the last previous transaction in the same security or the change in price that such a transaction represents : a small amount see also DOWNTICK, UPTICK"
"ticked",": ANGRY, UPSET"
"ticker",": something that ticks or produces a ticking sound: such as : WATCH : a telegraphic receiving instrument that automatically prints off information (such as stock quotations or news) on a paper ribbon : a graphic on which information is scrolled across the top or bottom of a television or computer screen : HEART"
"ticket",": a certificate or token showing that a fare or admission fee has been paid : a means of access or passage : a summons or warning issued to a traffic-law violator : a list of candidates for nomination or election : SLATE : the correct or desirable thing : a slip or card recording a transaction or undertaking or giving instructions : a document that serves as a certificate, license, or permit : a mariner's or airman's certificate : TAG, LABEL"
"ticketing",": a certificate or token showing that a fare or admission fee has been paid : a means of access or passage : a summons or warning issued to a traffic-law violator : a list of candidates for nomination or election : SLATE : the correct or desirable thing : a slip or card recording a transaction or undertaking or giving instructions : a document that serves as a certificate, license, or permit : a mariner's or airman's certificate : TAG, LABEL"
"tickets",": a certificate or token showing that a fare or admission fee has been paid : a means of access or passage : a summons or warning issued to a traffic-law violator : a list of candidates for nomination or election : SLATE : the correct or desirable thing : a slip or card recording a transaction or undertaking or giving instructions : a document that serves as a certificate, license, or permit : a mariner's or airman's certificate : TAG, LABEL"
"ticking",": a strong linen or cotton fabric used in upholstering and as a covering for a mattress or pillow"
"tickle",": to touch (a body part, a person, etc.) lightly so as to excite the surface nerves and cause uneasiness, laughter, or spasmodic movements : to excite or stir up agreeably : PLEASE : to provoke to laughter or merriment : AMUSE : to touch or stir gently"
"tickled",": to touch (a body part, a person, etc.) lightly so as to excite the surface nerves and cause uneasiness, laughter, or spasmodic movements : to excite or stir up agreeably : PLEASE : to provoke to laughter or merriment : AMUSE : to touch or stir gently"
"ticks",": a light rhythmic audible tap or beat : a series of such ticks : the time taken by the tick of a clock : MOMENT : a small spot or mark : one used to direct attention to something, to check an item on a list, or to represent a point on a scale : the minimum amount by which the price of a security can move upward or downward : a stock market transaction at a price above or below the last previous transaction in the same security or the change in price that such a transaction represents : a small amount see also DOWNTICK, UPTICK"
"tidal",": of, relating to, caused by, or having tides : periodically rising and falling or flowing and ebbing : dependent (as to the time of arrival or departure) upon the state of the tide"
"tide",": the alternate rising and falling of the surface of the ocean and of water bodies (such as gulfs and bays) connected with the ocean that occurs usually twice a day and is the result of differing gravitational forces exerted at different parts of the earth by another body (such as the moon or sun) : a less marked rising and falling of an inland body of water : a periodic movement in the earth's crust caused by the same forces that produce ocean tides : a periodic distortion on one celestial body caused by the gravitational attraction of another : one of the periodic movements of the atmosphere resembling those of the ocean and produced by gravitation or diurnal temperature changes : FLOOD TIDE sense 1 : something that fluctuates like the tides of the sea : a large and increasing quantity or volume : a flowing stream : CURRENT : the waters of the ocean : the overflow of a flooding stream : a fit or opportune time : OPPORTUNITY : an ecclesiastical anniversary or festival : its season : a space of time : PERIOD"
"tides",": the alternate rising and falling of the surface of the ocean and of water bodies (such as gulfs and bays) connected with the ocean that occurs usually twice a day and is the result of differing gravitational forces exerted at different parts of the earth by another body (such as the moon or sun) : a less marked rising and falling of an inland body of water : a periodic movement in the earth's crust caused by the same forces that produce ocean tides : a periodic distortion on one celestial body caused by the gravitational attraction of another : one of the periodic movements of the atmosphere resembling those of the ocean and produced by gravitation or diurnal temperature changes : FLOOD TIDE sense 1 : something that fluctuates like the tides of the sea : a large and increasing quantity or volume : a flowing stream : CURRENT : the waters of the ocean : the overflow of a flooding stream : a fit or opportune time : OPPORTUNITY : an ecclesiastical anniversary or festival : its season : a space of time : PERIOD"
"tidy",": neat and orderly in appearance or habits : well ordered and cared for : METHODICAL, PRECISE : LARGE, SUBSTANTIAL : adequately satisfactory : ACCEPTABLE, FAIR : properly filled out : PLUMP"
"tie",": to fasten, attach, or close by means of a tie : to form a knot or bow in : to make by tying constituent elements : to place or establish in relationship : CONNECT : to unite in marriage : to unite (musical notes) by a tie : to join (power systems) electrically : to restrain from independence or freedom of action or choice : constrain by or as if by authority, influence, agreement, or obligation : to make or have an equal score with in a contest : to equalize (the score) in a game or contest : to equalize the score of (a game) : to provide or offer something equal to : EQUAL"
"tied",": to fasten, attach, or close by means of a tie : to form a knot or bow in : to make by tying constituent elements : to place or establish in relationship : CONNECT : to unite in marriage : to unite (musical notes) by a tie : to join (power systems) electrically : to restrain from independence or freedom of action or choice : constrain by or as if by authority, influence, agreement, or obligation : to make or have an equal score with in a contest : to equalize (the score) in a game or contest : to equalize the score of (a game) : to provide or offer something equal to : EQUAL"
"tier",": a row, rank, or layer of articles : one of two or more rows, levels, or ranks arranged one above another : a group of political or geographic divisions that form a row across the map : CLASS, CATEGORY"
"tiered","Definition not found"
"tiers","Definition not found"
"ties","Definition not found"
"tiff","Definition not found"
"tiffany","Definition not found"
"tiger","Definition not found"
"tigers","Definition not found"
"tight","Definition not found"
"tighten","Definition not found"
"tightened","Definition not found"
"tightening","Definition not found"
"tighter","Definition not found"
"tightly","Definition not found"
"tights",": a skintight garment covering the body from the neck down or from the waist down : PANTYHOSE"
"tiki",": a wood or stone image of a Polynesian supernatural power"
"til",": SESAME"
