"colin",": the bobwhite or any of several related New World game birds"
"deliberations",": the act of thinking about or discussing something and deciding carefully : the act of deliberating : a discussion and consideration by a group of persons (such as a jury or legislature) of the reasons for and against a measure : the quality or state of being deliberate"
"delicacy",": something pleasing to eat that is considered rare or luxurious : the quality or state of being dainty (see DAINTY entry 2 sense 2) : FINENESS : FRAILTY sense 1 : fineness or subtle expressiveness of touch (as in painting or music) : refined sensibility in feeling or conduct : the quality or state of being squeamish : the quality or state of requiring delicate (see DELICATE entry 1 sense 4b) handling : precise and refined perception and discrimination : extreme sensitivity : PRECISION : the quality or state of being luxurious : INDULGENCE"
"delicate",": pleasing to the senses: : generally pleasant : pleasing to the sense of taste or smell especially in a mild or subtle way : marked by daintiness or charm of color, lines, or proportions : marked by fineness of structure, workmanship, or texture : marked by keen sensitivity or fine discrimination : FASTIDIOUS, SQUEAMISH : not robust in health or constitution : WEAK, SICKLY : easily torn or damaged : FRAGILE : requiring careful handling: : easily unsettled or upset : requiring skill or tact : involving matters of a deeply personal nature : SENSITIVE : marked by care, skill, or tact : marked by great precision or sensitivity"
"delicately",": pleasing to the senses: : generally pleasant : pleasing to the sense of taste or smell especially in a mild or subtle way : marked by daintiness or charm of color, lines, or proportions : marked by fineness of structure, workmanship, or texture : marked by keen sensitivity or fine discrimination : FASTIDIOUS, SQUEAMISH : not robust in health or constitution : WEAK, SICKLY : easily torn or damaged : FRAGILE : requiring careful handling: : easily unsettled or upset : requiring skill or tact : involving matters of a deeply personal nature : SENSITIVE : marked by care, skill, or tact : marked by great precision or sensitivity"
"delicious",": affording great pleasure : DELIGHTFUL : appealing to one of the bodily senses especially of taste or smell"
"delight",": a high degree of gratification or pleasure : JOY : extreme satisfaction : something that gives great pleasure : the power of affording pleasure"
"delighted",": DELIGHTFUL : highly pleased"
"delightful",": highly pleasing"
"delights",": a high degree of gratification or pleasure : JOY : extreme satisfaction : something that gives great pleasure : the power of affording pleasure"
"delinquent",": a usually young person who regularly performs illegal or immoral acts"
"deliver",": to set free : to take and hand over to or leave for another : CONVEY : HAND OVER, SURRENDER : to send, provide, or make accessible to someone electronically : to assist (a pregnant female) in giving birth : to aid in the birth of : to give birth to : to cause (oneself) to produce as if by giving birth : SPEAK, SING, UTTER : to send (something aimed or guided) to an intended target or destination : to bring (something, such as votes) to the support of a candidate or cause : to come through with : PRODUCE"
"deliverance",": the act of delivering someone or something : the state of being delivered : LIBERATION, RESCUE : something delivered : an opinion or decision (such as the verdict of a jury) expressed publicly"
"delivered",": to set free : to take and hand over to or leave for another : CONVEY : HAND OVER, SURRENDER : to send, provide, or make accessible to someone electronically : to assist (a pregnant female) in giving birth : to aid in the birth of : to give birth to : to cause (oneself) to produce as if by giving birth : SPEAK, SING, UTTER : to send (something aimed or guided) to an intended target or destination : to bring (something, such as votes) to the support of a candidate or cause : to come through with : PRODUCE"
"deliveries",": the act or manner of delivering something : something delivered"
"delivering",": to set free : to take and hand over to or leave for another : CONVEY : HAND OVER, SURRENDER : to send, provide, or make accessible to someone electronically : to assist (a pregnant female) in giving birth : to aid in the birth of : to give birth to : to cause (oneself) to produce as if by giving birth : SPEAK, SING, UTTER : to send (something aimed or guided) to an intended target or destination : to bring (something, such as votes) to the support of a candidate or cause : to come through with : PRODUCE"
"delivers",": to set free : to take and hand over to or leave for another : CONVEY : HAND OVER, SURRENDER : to send, provide, or make accessible to someone electronically : to assist (a pregnant female) in giving birth : to aid in the birth of : to give birth to : to cause (oneself) to produce as if by giving birth : SPEAK, SING, UTTER : to send (something aimed or guided) to an intended target or destination : to bring (something, such as votes) to the support of a candidate or cause : to come through with : PRODUCE"
"delivery",": the act or manner of delivering something : something delivered"
"dell",": a secluded hollow or small valley usually covered with trees or turf"
"delta",": the 4th letter of the Greek alphabet
see Alphabet Table : something shaped like a capital Greek delta : the alluvial deposit at the mouth of a river : an increment of a variable : DELTA WAVE : DELTA VARIANT"
"deluded",": deceived by false beliefs : having or characterized by delusional ideas"
"deluge",": an overflowing of the land by water : a drenching rain : an overwhelming amount or number"
"delusion",": something that is falsely or delusively believed or propagated : a persistent false psychotic belief regarding the self or persons or objects outside the self that is maintained despite indisputable evidence to the contrary : the abnormal state marked by such beliefs : the act of tricking or deceiving someone : the state of being deluded"
"delusional",": something that is falsely or delusively believed or propagated : a persistent false psychotic belief regarding the self or persons or objects outside the self that is maintained despite indisputable evidence to the contrary : the abnormal state marked by such beliefs : the act of tricking or deceiving someone : the state of being deluded"
"delusions",": something that is falsely or delusively believed or propagated : a persistent false psychotic belief regarding the self or persons or objects outside the self that is maintained despite indisputable evidence to the contrary : the abnormal state marked by such beliefs : the act of tricking or deceiving someone : the state of being deluded"
"deluxe",": notably luxurious, elegant, or expensive"
"delve",": EXCAVATE"
"demand",": an act of demanding or asking especially with authority : something claimed as due or owed : QUESTION : willingness and ability to purchase a commodity or service : the quantity of a commodity or service wanted at a specified price and time : a seeking or state of being sought after : urgent need : the requirement of work or of the expenditure of a resource"
"demanded",": an act of demanding or asking especially with authority : something claimed as due or owed : QUESTION : willingness and ability to purchase a commodity or service : the quantity of a commodity or service wanted at a specified price and time : a seeking or state of being sought after : urgent need : the requirement of work or of the expenditure of a resource"
"demanding",": requiring much time, effort, or attention : EXACTING"
"demands",": an act of demanding or asking especially with authority : something claimed as due or owed : QUESTION : willingness and ability to purchase a commodity or service : the quantity of a commodity or service wanted at a specified price and time : a seeking or state of being sought after : urgent need : the requirement of work or of the expenditure of a resource"
"demeanor",": behavior toward others : outward manner"
"dementia",": a usually progressive condition (such as Alzheimer's disease) marked by the development of multiple cognitive deficits (such as memory impairment, aphasia, and the inability to plan and initiate complex behavior) : MADNESS, INSANITY"
"demise",": DEATH : a cessation of existence or activity : a loss of position or status : the conveyance of an estate : transfer of the sovereignty to a successor"
"demo",": DEMONSTRATION sense 1b : DEMONSTRATION sense 4 : an example of a product that is not yet ready to be sold : a recording intended to show off a song or performer to a record producer : DEMONSTRATOR sense a"
"democracies",": government by the people : rule of the majority : such as : a form of government in which the people elect representatives to make decisions, policies, laws, etc. according to law : a form of government in which the people vote directly against or in favor of decisions, policies, laws, etc. : a country, state, etc. whose form of government is democracy : a political unit that has a democratic government : an organization or situation in which everyone is treated equally and has the right to participate equally in management, decision-making, etc. : political, social, or economic equality : the absence of hereditary or arbitrary class distinctions or privileges : the Democratic Party of the U.S. or its principles or policies"
"democracy",": government by the people : rule of the majority : such as : a form of government in which the people elect representatives to make decisions, policies, laws, etc. according to law : a form of government in which the people vote directly against or in favor of decisions, policies, laws, etc. : a country, state, etc. whose form of government is democracy : a political unit that has a democratic government : an organization or situation in which everyone is treated equally and has the right to participate equally in management, decision-making, etc. : political, social, or economic equality : the absence of hereditary or arbitrary class distinctions or privileges : the Democratic Party of the U.S. or its principles or policies"
"democrat",": a member of the Democratic party of the U.S. : a member of one of the two major political parties in the U.S. that is usually associated with government regulation of business, finance, and industry, with federally funded educational and social services, with separation of church and state, with support for abortion rights, affirmative action, gun control, and policies and laws that protect and support the rights of workers and minorities, and with internationalism and multilateralism in foreign policy compare REPUBLICAN : one that favors or supports a democratic form of government (see DEMOCRATIC sense 2) : an adherent or advocate of democracy : one who practices or believes in social equality"
"democratic",": of, relating to, or constituting one of the two major political parties in the U.S. that is usually associated with government regulation of business, finance, and industry, with federally funded education and social services, with separation of church and state, with support for abortion rights, affirmative action, gun control, and policies and laws that protect and support the rights of workers and minorities, and with internationalism and multilateralism in foreign policy see also DEMOCRATIC-REPUBLICAN : based on a form of government in which the people choose leaders by voting : of, relating to, or favoring democracy (see DEMOCRACY sense 1) : relating to the idea that all people should be treated equally : organized or operated so that all people involved have power, influence, etc. : relating, appealing, or available to the broad masses of the people : designed for or liked by most people"
"democratically",": of, relating to, or constituting one of the two major political parties in the U.S. that is usually associated with government regulation of business, finance, and industry, with federally funded education and social services, with separation of church and state, with support for abortion rights, affirmative action, gun control, and policies and laws that protect and support the rights of workers and minorities, and with internationalism and multilateralism in foreign policy see also DEMOCRATIC-REPUBLICAN : based on a form of government in which the people choose leaders by voting : of, relating to, or favoring democracy (see DEMOCRACY sense 1) : relating to the idea that all people should be treated equally : organized or operated so that all people involved have power, influence, etc. : relating, appealing, or available to the broad masses of the people : designed for or liked by most people"
"democrats",": a member of the Democratic party of the U.S. : a member of one of the two major political parties in the U.S. that is usually associated with government regulation of business, finance, and industry, with federally funded educational and social services, with separation of church and state, with support for abortion rights, affirmative action, gun control, and policies and laws that protect and support the rights of workers and minorities, and with internationalism and multilateralism in foreign policy compare REPUBLICAN : one that favors or supports a democratic form of government (see DEMOCRATIC sense 2) : an adherent or advocate of democracy : one who practices or believes in social equality"
"demographic",": the statistical characteristics of human populations (such as age or income) used especially to identify markets : a market or segment of the population identified by demographics"
"demographics",": the statistical characteristics of human populations (such as age or income) used especially to identify markets : a market or segment of the population identified by demographics"
"demolish",": TEAR DOWN, RAZE : to break to pieces : SMASH : to do away with : DESTROY : to strip of any pretense of merit or credence"
"demolished",": TEAR DOWN, RAZE : to break to pieces : SMASH : to do away with : DESTROY : to strip of any pretense of merit or credence"
"demolition",": the act of demolishing : destruction in war by means of explosives : explosives for destruction in war"
"demon",": an evil spirit : a source or agent of evil, harm, distress, or ruin : an attendant (see ATTENDANT entry 2 sense 1) power or spirit : GENIUS : a supernatural being whose nature is intermediate between that of a god and that of a human being : one that has exceptional enthusiasm, drive, or effectiveness : a software program or process that runs in the background"
"demonic",": of, relating to, or suggestive of a demon : FIENDISH"
"demons",": an evil spirit : a source or agent of evil, harm, distress, or ruin : an attendant (see ATTENDANT entry 2 sense 1) power or spirit : GENIUS : a supernatural being whose nature is intermediate between that of a god and that of a human being : one that has exceptional enthusiasm, drive, or effectiveness : a software program or process that runs in the background"
"demonstrate",": to show clearly : to prove or make clear by reasoning or evidence : to illustrate and explain especially with many examples : to show or prove the value or efficiency of to a prospective buyer"
"demonstrated",": to show clearly : to prove or make clear by reasoning or evidence : to illustrate and explain especially with many examples : to show or prove the value or efficiency of to a prospective buyer"
"demonstrates",": to show clearly : to prove or make clear by reasoning or evidence : to illustrate and explain especially with many examples : to show or prove the value or efficiency of to a prospective buyer"
"demonstrating",": to show clearly : to prove or make clear by reasoning or evidence : to illustrate and explain especially with many examples : to show or prove the value or efficiency of to a prospective buyer"
"demonstration",": an act, process, or means of demonstrating to the intelligence : such as : conclusive evidence : PROOF : DERIVATION sense 5 : a showing of the merits of a product or service to a prospective consumer : an outward expression or display : a show of armed force : a public display of group feelings toward a person or cause"
"demonstrations",": an act, process, or means of demonstrating to the intelligence : such as : conclusive evidence : PROOF : DERIVATION sense 5 : a showing of the merits of a product or service to a prospective consumer : an outward expression or display : a show of armed force : a public display of group feelings toward a person or cause"
"demonstrators",": one that demonstrates: : a product (such as an automobile) used to demonstrate performance or merits to prospective buyers : a person who engages in a public demonstration"
"demos",": POPULACE : the common people of an ancient Greek state"
"demoted",": to reduce to a lower grade or rank : to relegate to a less important position"
"demur",": to take exception : OBJECT : to file a demurrer : DELAY, HESITATE"
"den",": the lair of a wild usually predatory animal : a hollow or cavern used especially as a hideout : a center of secret activity : a small usually squalid dwelling : a comfortable usually secluded room : a subdivision of a Cub Scout pack made up of two or more boys : a small structure built by children as a place to play, hide, or provide shelter"
"denial",": refusal to satisfy a request or desire : refusal to admit the truth or reality of something (such as a statement or charge) : assertion that an allegation is false : refusal to acknowledge a person or a thing : DISAVOWAL : the opposing by the defendant of an allegation (see ALLEGATION sense 2) of the opposite party in a lawsuit : SELF-DENIAL : NEGATION sense 1b : a defense mechanism in which confrontation with a personal problem or with reality is avoided by denying the existence of the problem or reality"
"denied",": to declare (something) to be untrue : to refuse to admit or acknowledge (something) : DISAVOW : to give a negative answer to : to refuse to grant : to restrain (oneself) from gratification of desires : to refuse to accept the existence, truth, or validity of : to report or note the absence of (a symptom) : DECLINE"
"denies",": to declare (something) to be untrue : to refuse to admit or acknowledge (something) : DISAVOW : to give a negative answer to : to refuse to grant : to restrain (oneself) from gratification of desires : to refuse to accept the existence, truth, or validity of : to report or note the absence of (a symptom) : DECLINE"
"denim",": a firm durable twilled usually cotton fabric woven with colored warp and white filling threads : a similar fabric woven in colored stripes : overalls or trousers usually of blue denim"
"denomination",": an act of denominating : a value or size of a series of values or sizes : the value of a particular coin or bill : NAME, DESIGNATION : a general name for a category : a religious organization whose congregations are united in their adherence to its beliefs and practices"
"denominations",": an act of denominating : a value or size of a series of values or sizes : the value of a particular coin or bill : NAME, DESIGNATION : a general name for a category : a religious organization whose congregations are united in their adherence to its beliefs and practices"
"denominator",": the part of a fraction that is below the line and that functions as the divisor of the numerator : a shared trait : the average level (as of taste or opinion) : STANDARD"
"denote",": to serve as an indication of : BETOKEN : to serve as an arbitrary mark for : to make known : ANNOUNCE : to serve as a linguistic expression of the notion of : MEAN : to stand for : DESIGNATE"
"denoted",": to serve as an indication of : BETOKEN : to serve as an arbitrary mark for : to make known : ANNOUNCE : to serve as a linguistic expression of the notion of : MEAN : to stand for : DESIGNATE"
"denotes",": to serve as an indication of : BETOKEN : to serve as an arbitrary mark for : to make known : ANNOUNCE : to serve as a linguistic expression of the notion of : MEAN : to stand for : DESIGNATE"
"denounce",": to pronounce especially publicly to be blameworthy or evil : PROCLAIM : to announce threateningly : to inform (see INFORM sense intransitive 1) against : ACCUSE : PORTEND : to announce formally the termination of (something, such as a treaty)"
"denounced",": to pronounce especially publicly to be blameworthy or evil : PROCLAIM : to announce threateningly : to inform (see INFORM sense intransitive 1) against : ACCUSE : PORTEND : to announce formally the termination of (something, such as a treaty)"
"denouncing",": to pronounce especially publicly to be blameworthy or evil : PROCLAIM : to announce threateningly : to inform (see INFORM sense intransitive 1) against : ACCUSE : PORTEND : to announce formally the termination of (something, such as a treaty)"
"dense",": marked by compactness or crowding together of parts : having a high mass (see MASS entry 2 sense 1c) per unit volume (see VOLUME entry 1 sense 2) : slow to understand : STUPID, THICKHEADED : EXTREME : having between any two elements at least one element : demanding concentration to follow or comprehend : having high or relatively high opacity (see OPACITY sense 2)"
"densely",": marked by compactness or crowding together of parts : having a high mass (see MASS entry 2 sense 1c) per unit volume (see VOLUME entry 1 sense 2) : slow to understand : STUPID, THICKHEADED : EXTREME : having between any two elements at least one element : demanding concentration to follow or comprehend : having high or relatively high opacity (see OPACITY sense 2)"
"densities",": the quality or state of being dense : the quantity per unit of volume (see VOLUME entry 1 sense 2), unit of area (see AREA sense 1), or unit of length: such as : the mass (see MASS entry 2 sense 1c) of a substance per unit of volume : the distribution of a quantity (such as electricity or energy) per unit usually of space (such as length, area, or volume) : the average number of individuals or units per unit of space : the degree of opacity (see OPACITY sense 2) of a translucent medium : the common logarithm of the opacity"
"density",": the quality or state of being dense : the quantity per unit of volume (see VOLUME entry 1 sense 2), unit of area (see AREA sense 1), or unit of length: such as : the mass (see MASS entry 2 sense 1c) of a substance per unit of volume : the distribution of a quantity (such as electricity or energy) per unit usually of space (such as length, area, or volume) : the average number of individuals or units per unit of space : the degree of opacity (see OPACITY sense 2) of a translucent medium : the common logarithm of the opacity"
"dent",": to make a dent in : to have a weakening effect on"
"dental",": of or relating to the teeth or dentistry : articulated with the tip or blade of the tongue against or near the upper front teeth"
"dentist","Definition not found"
"dentistry","Definition not found"
"dentists","Definition not found"
"deny","Definition not found"
"denying","Definition not found"
"deodorant","Definition not found"
"depart",": to go away : LEAVE : DIE : to turn aside : DEVIATE"
"departed",": BYGONE : having died especially recently"
"departing",": to go away : LEAVE : DIE : to turn aside : DEVIATE"
"department",": a distinct sphere : PROVINCE : a category consisting especially of a measurable activity or attribute : a functional or territorial division: such as : a major administrative division of a government : a major territorial administrative subdivision : a division of a college or school giving instruction in a particular subject : a major division of a business : a section of a department store handling a particular kind of merchandise : a territorial subdivision made for the administration and training of military units"
"departmental",": a distinct sphere : PROVINCE : a category consisting especially of a measurable activity or attribute : a functional or territorial division: such as : a major administrative division of a government : a major territorial administrative subdivision : a division of a college or school giving instruction in a particular subject : a major division of a business : a section of a department store handling a particular kind of merchandise : a territorial subdivision made for the administration and training of military units"
"departments",": a distinct sphere : PROVINCE : a category consisting especially of a measurable activity or attribute : a functional or territorial division: such as : a major administrative division of a government : a major territorial administrative subdivision : a division of a college or school giving instruction in a particular subject : a major division of a business : a section of a department store handling a particular kind of merchandise : a territorial subdivision made for the administration and training of military units"
"departs",": to go away : LEAVE : DIE : to turn aside : DEVIATE"
"departure",": the act or an instance of departing : DEATH : a setting out (as on a new course) : DIVERGENCE sense 2"
"departures",": the act or an instance of departing : DEATH : a setting out (as on a new course) : DIVERGENCE sense 2"
"depend",": to be determined, based, or contingent (see CONTINGENT entry 1 sense 1) : to be pending or undecided : to place reliance or trust : to be dependent especially for financial support : to hang down"
"dependable",": capable of being trusted or depended on : RELIABLE"
"depended",": to be determined, based, or contingent (see CONTINGENT entry 1 sense 1) : to be pending or undecided : to place reliance or trust : to be dependent especially for financial support : to hang down"
"dependence",": the quality or state of being dependent : the quality or state of being influenced or determined by or subject to another : RELIANCE, TRUST : one that is relied on : drug addiction : HABITUATION sense 2b"
"dependencies",": DEPENDENCE sense 1 : something that is dependent on something else : a territorial unit under the jurisdiction of a nation but not formally annexed by it : a building (such as a stable) that is an adjunct to a main dwelling"
"dependency",": DEPENDENCE sense 1 : something that is dependent on something else : a territorial unit under the jurisdiction of a nation but not formally annexed by it : a building (such as a stable) that is an adjunct to a main dwelling"
"dependent",": determined or conditioned by another : CONTINGENT : relying on another for support : affected with a drug dependence (see DEPENDENCE sense 4) : SUBORDINATE sense 3a : subject to another's jurisdiction : not mathematically or statistically independent (see INDEPENDENT entry 1 sense 1e) : EQUIVALENT sense 6a : hanging down"
"depending",": to be determined, based, or contingent (see CONTINGENT entry 1 sense 1) : to be pending or undecided : to place reliance or trust : to be dependent especially for financial support : to hang down"
"depends",": to be determined, based, or contingent (see CONTINGENT entry 1 sense 1) : to be pending or undecided : to place reliance or trust : to be dependent especially for financial support : to hang down"
"depict",": to represent by or as if by a picture : DESCRIBE sense 1"
"depicted",": to represent by or as if by a picture : DESCRIBE sense 1"
"depicting",": to represent by or as if by a picture : DESCRIBE sense 1"
"depiction",": a representation in words or images of someone or something"
"depictions",": a representation in words or images of someone or something"
"depicts",": to represent by or as if by a picture : DESCRIBE sense 1"
"depleted",": to empty of a principal substance : to lessen markedly in quantity, content, power, or value"
"depletion",": to empty of a principal substance : to lessen markedly in quantity, content, power, or value"
"deplorable",": deserving censure or contempt : WRETCHED : LAMENTABLE"
"deploy",": to extend (a military unit) especially in width : to place in battle formation or appropriate positions : to spread out, utilize, or arrange for a deliberate purpose"
"deployed",": to extend (a military unit) especially in width : to place in battle formation or appropriate positions : to spread out, utilize, or arrange for a deliberate purpose"
"deploying",": to extend (a military unit) especially in width : to place in battle formation or appropriate positions : to spread out, utilize, or arrange for a deliberate purpose"
"deployment",": the act or movement of deploying or the state of being deployed: such as : placement or arrangement (as of military personnel or equipment) in position for a particular use or purpose : an instance of such placement (as in a battle zone) for a period of time : an instance of use that involves something opening and spreading out"
"deployments",": the act or movement of deploying or the state of being deployed: such as : placement or arrangement (as of military personnel or equipment) in position for a particular use or purpose : an instance of such placement (as in a battle zone) for a period of time : an instance of use that involves something opening and spreading out"
"deport",": to send out of the country by legal deportation : to carry away : to behave or comport (oneself) especially in accord with a code"
"deportation","Definition not found"
"deported","Definition not found"
"deposed","Definition not found"
"deposit","Definition not found"
"deposited","Definition not found"
"deposition","Definition not found"
"deposits","Definition not found"
"depot","Definition not found"
"depraved","Definition not found"
"depreciation","Definition not found"
"depressed","Definition not found"
"depressing","Definition not found"
"depression",": an act of depressing or a state of being depressed: such as : a state of feeling sad : low spirits : MELANCHOLY : a mood disorder that is marked by varying degrees of sadness, despair, and loneliness and that is typically accompanied by inactivity, guilt, loss of concentration, social withdrawal, sleep disturbances, and sometimes suicidal tendencies
see also CLINICAL DEPRESSION, MAJOR DEPRESSION, POSTPARTUM DEPRESSION : a reduction in activity, amount, quality, or force : a lowering of physical or mental vitality or of functional activity : a pressing down : LOWERING : a long-lasting period of greatly reduced general economic activity marked especially by widespread unemployment and declines in trade and production and often by deflation compare RECESSION entry 1 sense 2 : GREAT DEPRESSION : a place or part that is lower than the surrounding area : a depressed place or part : HOLLOW : LOW entry 2 sense 1b : the angular distance of a celestial object below the horizon : the size of an angle of depression"
"depressive",": tending to depress : of, relating to, marked by, or affected by psychological depression"
"deprivation",": the state of being kept from possessing, enjoying, or using something : the state of being deprived : PRIVATION : removal from an office, dignity, or benefice : an act or instance of withholding or taking something away from someone or something : an act or instance of depriving : LOSS"
"deprive",": to take something away from : to withhold something from : to remove from office : REMOVE"
"deprived",": marked by deprivation especially of the necessities of life or of healthful environmental influences"
"depriving",": to take something away from : to withhold something from : to remove from office : REMOVE"
"depth",": a deep place in a body of water : a part that is far from the outside or surface : ABYSS sense 1 : a profound or intense state (as of thought or feeling) : a reprehensibly low condition : the middle of a time (such as a season) : the worst part : the perpendicular (see PERPENDICULAR entry 1 sense 1b) measurement downward from a surface : the direct linear measurement from front to back : the quality of being deep : the degree of intensity : the quality of being profound (as in insight) or full (as of knowledge) : the quality or state of being complete or thorough compare IN-DEPTH : the quality of having many good players"
"depths",": a deep place in a body of water : a part that is far from the outside or surface : ABYSS sense 1 : a profound or intense state (as of thought or feeling) : a reprehensibly low condition : the middle of a time (such as a season) : the worst part : the perpendicular (see PERPENDICULAR entry 1 sense 1b) measurement downward from a surface : the direct linear measurement from front to back : the quality of being deep : the degree of intensity : the quality of being profound (as in insight) or full (as of knowledge) : the quality or state of being complete or thorough compare IN-DEPTH : the quality of having many good players"
"deputies",": a person appointed as a substitute with power to act : a second in command or assistant who usually takes charge when his or her superior is absent : a member of the lower house of some legislative assemblies"
"deputy",": a person appointed as a substitute with power to act : a second in command or assistant who usually takes charge when his or her superior is absent : a member of the lower house of some legislative assemblies"
"derail",": to cause to run off the rails : to obstruct the progress of : FRUSTRATE : to upset the stability or composure of"
"derailed",": to cause to run off the rails : to obstruct the progress of : FRUSTRATE : to upset the stability or composure of"
"derby",": any of several horse races held annually and usually restricted to three-year-olds : a race or contest open to all comers or to a specified category of contestants : a game between local sports teams : a stiff felt hat with dome-shaped crown and narrow brim"
"deregulation",": the act or process of removing restrictions and regulations"
"derelict",": abandoned especially by the owner or occupant : RUN-DOWN : lacking a sense of duty : NEGLIGENT"
"derivation",": the formation of a word from another word or base (as by the addition of a usually noninflectional affix) : an act of ascertaining or stating the derivation of a word : ETYMOLOGY sense 1 : the relation of a word to its base or root (see ROOT entry 1 sense 6) : SOURCE, ORIGIN : DESCENT, ORIGINATION : something that originates from something else : something derived : DERIVATIVE : an act or process of deriving : a sequence of statements showing that a result is a necessary consequence of previously accepted statements"
"derivative",": a word formed from another word or base : a word formed by derivation : something derived : the limit of the ratio of the change in a function to the corresponding change in its independent variable as the latter change approaches zero : a chemical substance related structurally to another substance and theoretically derivable from it : a substance that can be made from another substance : a contract or security (see SECURITY sense 3) that derives its value from that of an underlying asset (such as another security) or from the value of a rate (as of interest or currency exchange) or index (see INDEX entry 1 sense 1b) of asset value (such as a stock index)"
"derivatives",": a word formed from another word or base : a word formed by derivation : something derived : the limit of the ratio of the change in a function to the corresponding change in its independent variable as the latter change approaches zero : a chemical substance related structurally to another substance and theoretically derivable from it : a substance that can be made from another substance : a contract or security (see SECURITY sense 3) that derives its value from that of an underlying asset (such as another security) or from the value of a rate (as of interest or currency exchange) or index (see INDEX entry 1 sense 1b) of asset value (such as a stock index)"
"derive",": to take, receive, or obtain especially from a specified source : to obtain (a chemical substance) actually or theoretically from a parent substance : INFER, DEDUCE : BRING : to trace the derivation of"
"derived",": being, possessing, or marked by a character (such as the large brain in humans) not present in the ancestral form"
"derives",": to take, receive, or obtain especially from a specified source : to obtain (a chemical substance) actually or theoretically from a parent substance : INFER, DEDUCE : BRING : to trace the derivation of"
"dermatologist",": a branch of medicine dealing with the skin, its structure, functions, and diseases"
"derogatory",": expressive of a low opinion : DISPARAGING : detracting from the character or standing of something"
"derrick",": a hoisting apparatus employing a tackle rigged at the end of a beam : a framework or tower over a deep drill hole (as of an oil well) for supporting boring tackle or for hoisting and lowering"
"descend",": to pass from a higher place or level to a lower one : to pass in discussion from what is logically prior or more comprehensive : to originate or come from an ancestral stock or source : DERIVE : to pass by inheritance : to pass by transmission : to incline, lead, or extend downward : to conduct nerve impulses away from the brain : to swoop or pounce down (as in a sudden attack) : to appear suddenly and often disconcertingly as if from above : to proceed in a sequence or gradation from higher to lower or from more remote to nearer or more recent : to lower oneself in status or dignity : STOOP : to worsen and sink in condition or estimation : to pass from higher to lower musical notes"
"descendant",": moving or directed downward : proceeding from an ancestor or source"
"descendants",": moving or directed downward : proceeding from an ancestor or source"
"descended",": to pass from a higher place or level to a lower one : to pass in discussion from what is logically prior or more comprehensive : to originate or come from an ancestral stock or source : DERIVE : to pass by inheritance : to pass by transmission : to incline, lead, or extend downward : to conduct nerve impulses away from the brain : to swoop or pounce down (as in a sudden attack) : to appear suddenly and often disconcertingly as if from above : to proceed in a sequence or gradation from higher to lower or from more remote to nearer or more recent : to lower oneself in status or dignity : STOOP : to worsen and sink in condition or estimation : to pass from higher to lower musical notes"
"descending",": to pass from a higher place or level to a lower one : to pass in discussion from what is logically prior or more comprehensive : to originate or come from an ancestral stock or source : DERIVE : to pass by inheritance : to pass by transmission : to incline, lead, or extend downward : to conduct nerve impulses away from the brain : to swoop or pounce down (as in a sudden attack) : to appear suddenly and often disconcertingly as if from above : to proceed in a sequence or gradation from higher to lower or from more remote to nearer or more recent : to lower oneself in status or dignity : STOOP : to worsen and sink in condition or estimation : to pass from higher to lower musical notes"
"descends",": to pass from a higher place or level to a lower one : to pass in discussion from what is logically prior or more comprehensive : to originate or come from an ancestral stock or source : DERIVE : to pass by inheritance : to pass by transmission : to incline, lead, or extend downward : to conduct nerve impulses away from the brain : to swoop or pounce down (as in a sudden attack) : to appear suddenly and often disconcertingly as if from above : to proceed in a sequence or gradation from higher to lower or from more remote to nearer or more recent : to lower oneself in status or dignity : STOOP : to worsen and sink in condition or estimation : to pass from higher to lower musical notes"
"descent",": derivation from an ancestor : BIRTH, LINEAGE : transmission or devolution of an estate (see ESTATE entry 1 sense 4b) by inheritance usually in the descending line : the fact or process of originating from an ancestral stock : the shaping or development in nature and character by transmission from a source : DERIVATION : the act or process of descending from a higher to a lower level, rank, or state : a step downward in a scale of gradation : one generation in an ancestral line or genealogical scale : an inclination downward : SLOPE : a way (such as a downgrade or stairway) that descends or leads downward : the lowest part : ATTACK, INVASION : a sudden disconcerting appearance (as for a visit) : a downward step (as in station or value) : DECLINE"
"describe",": to represent or give an account of in words : to represent by a figure, model, or picture : DELINEATE : DISTRIBUTE : to trace or traverse the outline of : OBSERVE, PERCEIVE"
"described",": to represent or give an account of in words : to represent by a figure, model, or picture : DELINEATE : DISTRIBUTE : to trace or traverse the outline of : OBSERVE, PERCEIVE"
"describes",": to represent or give an account of in words : to represent by a figure, model, or picture : DELINEATE : DISTRIBUTE : to trace or traverse the outline of : OBSERVE, PERCEIVE"
"describing",": to represent or give an account of in words : to represent by a figure, model, or picture : DELINEATE : DISTRIBUTE : to trace or traverse the outline of : OBSERVE, PERCEIVE"
"description",": an act of describing : discourse intended to give a mental image of something experienced : a statement or account giving the characteristics of someone or something : a descriptive statement or account : kind or character especially as determined by salient (see SALIENT entry 1 sense 3b) features"
"descriptions",": an act of describing : discourse intended to give a mental image of something experienced : a statement or account giving the characteristics of someone or something : a descriptive statement or account : kind or character especially as determined by salient (see SALIENT entry 1 sense 3b) features"
